comment,author,date,num_likes
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=931"">15:31</a>  좀 거친 마법의식..",@user-tg7hw3en4e,2024-02-06T13:11:56Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=896"">14:56</a>  왜 마법소녀,소년이 필요한 이유",@user-tg7hw3en4e,2024-02-06T13:11:21Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=792"">13:12</a> 이건 좀 솔깃한디",@user-tg7hw3en4e,2024-02-06T13:09:16Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=787"">13:07</a> 우. 와. 엄. 청. 나. 다",@user-tg7hw3en4e,2024-02-06T13:09:06Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=668"">11:08</a>  뽀쨕이들이 대화하는거 <br><br><br><br><br><br>개귀욥네",@user-tg7hw3en4e,2024-02-06T13:07:42Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=609"">10:09</a>  개귀욥네..",@user-tg7hw3en4e,2024-02-06T13:05:31Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=466"">7:46</a>  아니 쳐다보는거 진짜 안쓰럽네",@user-tg7hw3en4e,2024-02-06T13:02:58Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=322"">5:22</a>  점점 격해지는 그의 말",@user-tg7hw3en4e,2024-02-06T12:59:58Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=285"">4:45</a>  깜짝 놀랬넼ㅋㅋ",@user-tg7hw3en4e,2024-02-06T12:58:57Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=282"">4:42</a> 손들어 고옴짝마 움직이면 쏜다!",@user-tg7hw3en4e,2024-02-06T12:58:43Z,0
불도 화학식이 있답니다,@user-oj9lw8ct3h,2024-02-06T12:31:24Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=934"">15:34</a>",@user-bw9dh3ue9x,2024-02-05T15:01:18Z,0
나 고등학생인데 왜 나한테는 안왔어.. 나 공부안해..  나 대학 안갈 거라고..,@user-gu7oc4ne8i,2024-02-05T13:28:15Z,0
ㅋㅋㅋㅋㅋ 완전 미쳐따 잠뜰 스킨이..! 음.. ㅋㅋㅋ 또다른 세계의 마법소녘,@user-yy4kn9lm8t,2024-02-05T04:59:06Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1104"">18:24</a>",@user-xp3tb3pl2m,2024-02-04T14:12:33Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1360"">22:40</a>",@cuimTV,2024-02-04T13:49:03Z,0
이야 변신모션ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이쁘닼ㅋㅋㅋㅋ어릴때 생각나네요,@user-xo7su6iu9x,2024-02-04T12:29:52Z,0
"잠뜰님 다이어리 넘 좋아요<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYcjmIs2E8wTYsY_4CQ""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/c5p4ZczINpC3_9EP-uOykAQ""></a>",@user-db1nb8qk8b,2024-02-04T06:00:50Z,1
근데 대학원생이 체력이 어딨어요 ㅋㅋㅋㅋㅋㅋ,@difokrnf,2024-02-04T05:26:08Z,0
변신하는 모습 세일러문 인줄욬ㅋㅋㅋㅋㅋㅋㅋ,@the_blue_sky..,2024-02-04T00:02:05Z,0
아  잠뜰 님  요즘 수이웃의 흔적이 남달른데...<br>혹시 시즌3가?,@user-ho3nj9hn6i,2024-02-03T12:28:20Z,0
"수이웃!!!!!!!!ㅜㅜㅜㅡㅜㅜㅠㅡㅜㅜ수이웃 저승열차 차장ㅠㅠㅠㅠㅠ<br><a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1949"">32:29</a>",@user-xi4yb5oi8z,2024-02-03T07:33:06Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=56"">0:56</a> 왜이렇게 현실적인데요 ㅋㅋㅋㅋㅋ",@VanaYummy,2024-02-03T04:54:12Z,1
이거 2편 나오면 좋겠어요😢❤,@user-vs2ir2qc8p,2024-02-02T22:53:25Z,0
"쟝재밋어요<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a>",@user-rt3sw1pw6s,2024-02-02T18:36:17Z,0
라더님 변신할때 다리만보고 맨다린줄알고 충격받음,@platypus3870,2024-02-02T16:35:39Z,0
잠뜰 님혹시 이고연재돼요?,@user-it9mv8ml9o,2024-02-02T14:23:39Z,0
아니  육성으로  엄청  터져서 배아파요 ㅠㅠㅠㅠㅠ 덕님이랑  룡님  진짜 ㅋㅋㅋ 컨셉 왜케  잘 어울리시지 ㅠㅠㅠㅠㅠㅠ  너무  웃겨요  이거  시리즈로  나오면 안되나요ㅋㅋㅋㅋㅋㅋㅋ,@user-oh2kd9pk1k,2024-02-02T14:02:14Z,0
왜 수이웃 라더가..,@user-ez4or1bn4u,2024-02-02T12:36:24Z,0
